Activity ID;Activity Date;Activity Name;Activity Type;Elapsed Time;Distance;Max Heart Rate;Relative Effort;Commute;Activity Private Note;Activity Gear;Moving Time;Distance;Elevation Gain;Max Heart Rate;Average Heart Rate;Calories;Apparent Temperature;UV Index;Carbon Saved
11099082407;Apr 3, 2024, 3:55:29 PM;Afternoon Run;Run;3440,00;9.90;174.0;63;false;;Kalenji Run Active;3434.0;9901.900390625;6.024049758911133;174.0;145.76295471191406;507.0;15.210000038146973;2.0;
11095499665;Apr 3, 2024, 4:13:02 AM;Morning Workout / Arms;Workout;2949,00;0;125.0;4;false;;;2949.0;0.0;0.0;;80.48965454101562;41.0;;;
14068874337;Apr 3, 2025, 2:39:17 PM;Afternoon Ride;Ride;1069,00;5.47;136.0;3;true;;GRVL120;1054.0;5476.2998046875;32.0;136.0;117.42228698730469;133.0;19.350000381469727;3.0;1.190999984741211
14064984841;Apr 3, 2025, 4:02:05 AM;Morning Weight Training;Weight Training;4372,00;0;128.0;9;false;;;4372.0;0.0;0.0;128.0;92.41902923583984;287.0;;;
14065279366;Apr 3, 2025, 6:00:23 AM;Morning Ride;Ride;1101,00;5.58;137.0;3;true;;GRVL120;1068.0;5581.2998046875;34.0;137.0;114.89838409423828;132.0;7.78000020980835;0.0;1.2138999700546265
8984464342;Apr 30, 2023, 1:06:35 PM;Vélo dans l'après-midi;Ride;4147,00;15.71;;;false;;;3911.0;15712.740234375;77.63741302490234;;;;;;
8982969115;Apr 30, 2023, 8:45:22 AM;Vélo du matin;Ride;7104,00;27.43;;;false;;;6337.0;27436.08984375;73.21794128417969;;;;;;
11299901830;Apr 30, 2024, 3:57:27 PM;Afternoon Run;Run;2597,00;7.62;165.0;73;false;;Kalenji Run Active;2588.0;7621.68017578125;5.742298126220703;165.0;154.56838989257812;432.0;18.280000686645508;2.0;
11295817079;Apr 30, 2024, 4:10:33 AM;Morning Workout / Shoulders;Workout;3003,00;0;116.0;6;false;;;3003.0;0.0;0.0;116.0;89.08091735839844;91.0;;;
11297439129;Apr 30, 2024, 9:42:56 AM;Lunch Run;Run;3155,00;7.08;180.0;91;false;;Kalenji Run Active;2909.0;7084.68994140625;211.8815155029297;180.0;158.09056091308594;528.0;16.940000534057617;3.0;
14333285574;Apr 30, 2025, 5:33:48 AM;Morning Ride;Ride;32226,00;112.22;;;false;;GRVL120;23325.0;112226.8984375;930.0;;;2950.0;9.739999771118164;0.0;
11115922189;Apr 4, 2024, 4:15:40 AM;Morning Workout / Back;Workout;2810,00;0;115.0;5;false;;;2810.0;0.0;0.0;115.0;89.73807525634766;87.0;;;
14076672585;Apr 4, 2025, 10:10:34 AM;Lunch Run;Run;4060,00;10.51;191.0;139;false;;Nike Pegasus 41;3920.0;10517.2001953125;231.0;191.0;161.01153564453125;819.0;18.81999969482422;3.0;
14078837283;Apr 4, 2025, 3:20:17 PM;Afternoon Ride;Ride;1136,00;5.51;145.0;4;true;;GRVL120;1033.0;5518.89990234375;29.0;145.0;123.2862777709961;155.0;23.770000457763672;2.0;1.2002999782562256
14074972414;Apr 4, 2025, 6:24:52 AM;Morning Ride;Ride;1032,00;5.59;131.0;2;true;;GRVL120;964.0;5598.2001953125;38.0;131.0;94.48304748535156;78.0;10.960000038146973;0.0;1.2175999879837036
14087431463;Apr 5, 2025, 12:09:53 PM;Afternoon Ride;Ride;5635,00;25.30;;;false;;GRVL120;5242.0;25303.599609375;398.0;;;886.0;21.950000762939453;5.0;
14083833016;Apr 5, 2025, 6:13:58 AM;Morning Weight Training;Weight Training;4386,00;0;145.0;13;false;;;4386.0;0.0;0.0;145.0;107.83264923095703;383.0;;;
11123790467;Apr 6, 2024, 2:27:03 PM;Afternoon Run;Run;1333,00;3.71;163.0;32;false;;Kalenji Run Active;1328.0;3713.18994140625;2.5328948497772217;163.0;150.45968627929688;205.0;23.93000030517578;3.0;
11115922265;Apr 6, 2024, 5:09:34 AM;Morning Workout / Chest Shoulders;Workout;3470,00;0;111.0;7;false;;;3470.0;0.0;0.0;111.0;89.97723388671875;107.0;;;
14097085936;Apr 6, 2025, 10:58:17 AM;Lunch Ride;Ride;5477,00;25.06;;;false;;GRVL120;5310.0;25067.5;393.0;;;868.0;19.68000030517578;5.0;
14093656186;Apr 6, 2025, 6:16:47 AM;Morning Weight Training;Weight Training;4921,00;0;129.0;11;false;;;4921.0;0.0;0.0;129.0;94.3818359375;334.0;;;
11123761060;Apr 7, 2024, 5:32:51 AM;Morning Workout / Arms;Workout;3013,00;0;104.0;5;false;;;3013.0;0.0;0.0;104.0;84.04945373535156;61.0;;;
11126256174;Apr 7, 2024, 9:14:29 AM;Lunch Run;Run;8619,00;22.28;166.0;209;false;;Kalenji Run Active;8522.0;22279.130859375;13.911904335021973;166.0;150.5678253173828;1301.0;20.540000915527344;3.0;
14105334502;Apr 7, 2025, 10:40:20 AM;Lunch Ride;Ride;1447,00;6.06;125.0;4;true;;GRVL120;1347.0;6060.60009765625;18.0;125.0;115.91000366210938;169.0;18.389999389648438;5.0;1.3180999755859375
14107403126;Apr 7, 2025, 3:02:26 PM;Afternoon Ride;Ride;1554,00;7.17;120.0;4;true;;GRVL120;1518.0;7172.2998046875;28.0;120.0;104.83333587646484;142.0;18.149999618530273;2.0;1.5599000453948975
11131941417;Apr 8, 2024, 4:12:57 AM;Morning Workout / Back;Workout;2803,00;0;110.0;5;false;;;2803.0;0.0;0.0;110.0;87.7281494140625;81.0;;;
14117364141;Apr 8, 2025, 2:52:30 PM;Afternoon Ride;Ride;1567,00;6.74;125.0;4;true;;GRVL120;1367.0;6744.10009765625;24.0;125.0;110.14566040039062;160.0;19.299999237060547;3.0;1.4667999744415283
14117789704;Apr 8, 2025, 3:35:13 PM;Afternoon Run;Run;1877,00;5.06;186.0;47;false;;Nike Pegasus 41;1676.0;5061.10009765625;12.0;186.0;155.41522216796875;378.0;21.3799991607666;2.0;
14113395073;Apr 8, 2025, 6:22:41 AM;Morning Ride;Ride;1346,00;5.40;125.0;2;true;;GRVL120;1148.0;5400.7001953125;12.0;125.0;90.93499755859375;94.0;10.010000228881836;0.0;1.1746000051498413
11139361148;Apr 9, 2024, 4:13:47 AM;Morning Workout / Chest Shoulders;Workout;2853,00;0;109.0;5;false;;;2853.0;0.0;0.0;109.0;84.65825653076172;63.0;;;
14128063442;Apr 9, 2025, 3:47:39 PM;Afternoon Ride;Ride;1049,00;5.49;134.0;3;true;;GRVL120;985.0;5490.7998046875;33.0;134.0;118.74127197265625;134.0;19.110000610351562;2.0;1.194200038909912
14123333901;Apr 9, 2025, 4:02:42 AM;Morning Weight Training;Workout;3990,00;0;120.0;7;false;;;3990.0;0.0;0.0;120.0;88.42957305908203;239.0;;;
14123649543;Apr 9, 2025, 5:59:08 AM;Morning Ride;Ride;1082,00;5.59;138.0;4;true;;GRVL120;1067.0;5593.89990234375;35.0;138.0;117.61538696289062;141.0;7.820000171661377;0.0;1.216599941253662
9560716259;Aug 1, 2023, 8:35:45 AM;Morning Workout / Dos Biceps ;Workout;3115,00;0;132.0;7;false;;;3115.0;0.0;0.0;;98.86709594726562;166.0;;;
12036565907;Aug 1, 2024, 3:05:03 PM;Afternoon Ride;Ride;1672,00;8.73;146.0;8;true;;Le vieux Peugeot ;1518.0;8735.599609375;54.0;146.0;126.91677856445312;223.0;31.709999084472656;4.0;1.899899959564209
12032940640;Aug 1, 2024, 5:37:56 AM;Morning Ride;Ride;1786,00;9.97;147.0;13;true;;Le vieux Peugeot ;1580.0;9976.4501953125;54.0;147.0;133.0525360107422;265.0;21.719999313354492;0.0;2.169800043106079
9620445237;Aug 10, 2023, 12:22:33 PM;Afternoon Hike;Hike;9922,00;6.86;132.0;16;false;;;6215.0;6862.3798828125;168.8709716796875;;101.63675689697266;564.0;24.079999923706055;8.0;
12107846191;Aug 10, 2024, 4:54:24 AM;Morning Weight Training;Weight Training;2683,00;0;159.0;10;false;;;2683.0;0.0;0.0;159.0;113.34103393554688;268.0;;;
9627904645;Aug 11, 2023, 11:41:42 AM;Afternoon Hike;Hike;8374,00;5.69;142.0;16;false;;;4715.0;5691.2900390625;188.661865234375;;114.79515838623047;672.0;27.350000381469727;7.0;
9624590961;Aug 11, 2023, 6:53:37 AM;Morning Run;Run;1454,00;4.46;186.0;45;false;;;1411.0;4459.89990234375;42.442955017089844;;157.21377563476562;237.0;16.100000381469727;0.0;
9633942407;Aug 12, 2023, 12:11:27 PM;Afternoon Hike;Hike;6546,00;2.98;127.0;8;false;;;3132.0;2982.18994140625;97.59832763671875;;105.6564712524414;378.0;26.790000915527344;8.0;
9630643212;Aug 12, 2023, 7:09:07 AM;Morning Run;Run;2358,00;6.81;186.0;99;false;;;2159.0;6817.89990234375;65.61196899414062;;167.1044158935547;415.0;20.600000381469727;1.0;
12125191336;Aug 12, 2024, 5:14:14 AM;Morning Run;Run;2310,00;6.97;173.0;63;false;;Kiprun XT8;2310.0;6977.76025390625;40.0;173.0;155.2672119140625;476.0;19.979999542236328;0.0;
9641366918;Aug 13, 2023, 2:12:51 PM;Afternoon Hike;Hike;8161,00;3.34;141.0;10;false;;;3941.0;3345.68994140625;138.88314819335938;;101.22606658935547;415.0;27.049999237060547;6.0;
12133664617;Aug 13, 2024, 4:56:01 AM;Morning Weight Training;Weight Training;2828,00;0;151.0;10;false;;;2828.0;0.0;0.0;151.0;111.07425689697266;270.0;;;
9657440355;Aug 16, 2023, 6:13:48 AM;Morning Run;Run;1117,00;3.19;183.0;34;false;;;981.0;3194.68994140625;54.2606086730957;;159.16310119628906;181.0;17.739999771118164;0.0;
9664313108;Aug 17, 2023, 6:40:16 AM;Morning Workout / Épaules Trapèzes;Workout;2356,00;0;120.0;5;false;;;2356.0;0.0;0.0;;94.14473724365234;111.0;;;
9664768648;Aug 17, 2023, 8:43:38 AM;Morning Run;Run;1483,00;3.88;179.0;37;false;;;1271.0;3879.389892578125;23.971118927001953;;155.35279846191406;222.0;20.5;2.0;
12173343072;Aug 17, 2024, 5:54:17 PM;Evening Yoga;Yoga;2617,00;0;125.0;5;false;;;2617.0;0.0;0.0;125.0;89.8410415649414;146.0;;;
9670709635;Aug 18, 2023, 6:36:06 AM;Morning Workout / Jambes;Workout;2703,00;0;130.0;7;false;;;2703.0;0.0;0.0;;107.03218841552734;192.0;;;
12178999120;Aug 18, 2024, 11:16:11 AM;Afternoon Ride;Ride;5864,00;22.37;154.0;30;false;;Le vieux Peugeot ;4249.0;22375.23046875;133.0;154.0;128.85482788085938;582.0;19.670000076293945;4.0;
